old_name,new_name,longer_name,module,data_source,display_streamlined,happy_question,question_type,dashboard_comments
id,id,"ID (not usable, just function of creating long df)",Data Identification,Exit Survey,FALSE,FALSE,NA,NA
wave,wave,corresponds to year of redcap,Data Identification,Exit Survey,FALSE,FALSE,NA,NA
Capture Date,capture_date,Date,Basic,Exit Survey,FALSE,FALSE,NA,NA
record_id,record_id,Student,Basic,Exit Survey,FALSE,FALSE,NA,NA
acad_year.x,acad_year,Academic year,Basic,Exit Survey,FALSE,FALSE,NA,NA
I.     DEGREE PROGRAM & COMPLETI,pokemon,Pokemon,Basic,Exit Survey,FALSE,FALSE,NA,NA
"Program subfield: ifapplicable,",subfield,Program subfield,Basic,Exit Survey,FALSE,FALSE,NA,NA
When did you first enroll as a P,enroll_sem,When did you first enroll as a Ph.D. student at Duke?,Basic,Exit Survey,FALSE,FALSE,NA,NA
When did you first enroll a_0001,enroll_year,When did you first enroll as a Ph.D. student at Duke?,Basic,Exit Survey,FALSE,FALSE,NA,NA
When will your Ph.D. degree be c,grad_month,When will your Ph.D. degree be conferred?,Basic,Exit Survey,FALSE,FALSE,NA,NA
When will your Ph.D. degree_0001,grad_year,When will your Ph.D. degree be conferred?,Basic,Exit Survey,FALSE,FALSE,NA,NA
II. SELECTION& ADMISSIONDid,a_interact_yn,"Did you interact with faculty or current graduate students before applying to, admission to, or enrollment in, your doctoral program?",Selection & Admission,Exit Survey,TRUE,TRUE,yes_no,NA
newly_created,a_interact_t,"Prior to application, admission, or enrollment, did you communicate via email?",Selection & Admission,Exit Survey,FALSE,TRUE,yes_no,"Show NA: some programs don't add to 100%--could be a rounding issue because ""numbers"" was fine"
How helpful were these interacti,a_interact_h,How helpful were these interactions?,Selection & Admission,Exit Survey,FALSE,TRUE,likert_3,NA
Statistical information about Du,a_info,"Statistical information about Duke Ph.D. admissions & enrollment, completion rates, time to degree, and placement are posted on the Graduate School website. Were you aware of these data?",Selection & Admission,Exit Survey,TRUE,TRUE,yes_no,NA
Did these data affect your decis,a_info_yn,Did these data affect your decision to apply?,Selection & Admission,Exit Survey,TRUE,TRUE,yes_no,NA
III. DEPARTMENTAL ORIENTATION &,do_attend,"When you first enrolled as a doctoral student, did your department or program provide an Orientation to explain the process of completing your doctoral degree?",Departmental Orientation & Communication,Exit Survey,TRUE,TRUE,split_scale_4,scale or likert?
How effective was this orientati,do_effective,How effective was this orientation in helping you to understand the process of completing your doctoral degree?,Departmental Orientation & Communication,Exit Survey,FALSE,TRUE,likert_5,Light blue onward is cut off
Did your department or program p,do_expect,Did your department or program provide you with a written set of expectations about academic requirements and expected progress?,Departmental Orientation & Communication,Exit Survey,TRUE,TRUE,yes_no,NA
Other than course gradesand res,do_assess,"Other than course grades and results of written or oral examinations, did your department or program provide a formal assessment of your academic progress at least annually?",Departmental Orientation & Communication,Exit Survey,TRUE,TRUE,yes_no,NA
IV. GENERAL SUPPORTPlease ra,gs_fin,Financial support,General Support,Exit Survey,TRUE,TRUE,likert_5,NA
IV. GENERAL SUPPORTPlea_0001,gs_it,Information technology (IT) resources,General Support,Exit Survey,FALSE,TRUE,likert_5,NA
IV. GENERAL SUPPORTPlea_0002,gs_ws,"Your personal work space [e.g., desk or office]",General Support,Exit Survey,FALSE,TRUE,likert_5,NA
IV. GENERAL SUPPORTPlea_0003,gs_lib,Library and electronic research resources,General Support,Exit Survey,FALSE,TRUE,likert_5,NA
