program,a_interact_yn,a_interact_t,a_interact_h,a_info,a_info_yn,do_attend,do_effective,do_expect,do_assess,gs_fin,gs_it,gs_ws,gs_lib,gs_lab,pq_facintel,pq_recdev,pq_curric,pq_teach,pq_methods,pq_advise,pq_comps,pq_collab,pq_employ,pq_overall,c_respect,c_intelpos,c_socpos,c_studentcol,c_staffhelp,c_tensions,c_finfair,c_advisad,c_mcareer,o_fin,o_fam,o_facavail,o_req,o_sched,o_immig,o_other,cp_yn,cp_fac,cp_intel,cp_social,cp_overall,qe_course,qe_select,qe_feedback,qe_avail,m_help_written,m_help_oral,m_help_topic,m_help_proposal,m_help_research,m_help_writing,m_help_careeracad,m_help_careernonacad,m_help_employ,m_time_written,m_time_oral,m_time_topic,m_time_proposal,m_time_research,m_time_writing,m_time_careeracad,m_time_careernonacad,m_time_employ,me_oth_yn,me_oth_dep,me_oth_help_written,me_oth_help_oral,me_oth_help_topic,me_oth_help_proposal,me_oth_help_research,me_oth_help_writing,me_oth_help_careeracad,me_oth_help_careernonacad,me_oth_help_employ,me_oth_time_written,me_oth_time_oral,me_oth_time_topic,me_oth_time_proposal,me_oth_time_research,me_oth_time_writing,me_oth_time_careeracad,me_oth_time_careernonacad,me_oth_time_employ,d_ta_yn,d_ta_number,d_ta_training_location,d_ta_training_helpful,d_colteach_training_yn,d_coltech_training_helpful,d_colteach_training_location,d_ta_solo_yn,d_ta_solo_number,d_ta_solo_location,d_ra_yn,d_ra_helpful,d_conf_yn,d_careerevents_yn,d_careerstaff_yn,d_workshopdep_yn,d_workshopgrad_yn,d_coursesdep_yn,d_coursesgrad_yn,d_conf_sat,d_careerevents_sat,d_careerstaff_sat,d_workshopdep_sat,d_workshopgrad_sat,d_coursesdep_sat,d_coursesgrad_sat,pp_oncampus,pp_offcampus,pp_funding,pp_fundsource,pp_pubs,pp_pending,f_supp_yn,f_guarantee,f_years,f_sources,f_sat,f_ratime,f_tatime,f_borrowing,os_acad_exper,os_stud_exper,os_overall_exper,os_clear_research_ques,os_apply_research_meth,os_analyze_data,os_acad_pres,os_public_pres,os_train_grant_yn,os_job_interviews_yn,os_job_talk_yn,os_locate_acad_pos_yn,os_locate_outside_acad_pos_yn,os_train_grant,os_job_interviews,os_job_talk,os_locate_acad_pos,os_locate_outside_acad_pos,os_same_uni,os_same_field,os_same_diss_adv,os_recommend,e_postgrad_plans,e_employer_type_educ,e_employer_type_gov,e_employer_type_priv,e_employer_loc
Zigzagoon,1.2377049180327868,10.634408602150538,1.3010752688172043,1.3934426229508197,1.5135135135135136,2.1147540983606556,3.3684210526315788,1.0245901639344261,1.2704918032786885,3.2049180327868854,3.2295081967213113,3.6721311475409837,3.778688524590164,3.3076923076923075,3.6065573770491803,3.5,2.8595041322314048,2.7916666666666665,3.057377049180328,3.30327868852459,2.9338842975206614,3.459016393442623,3.1147540983606556,2.7950819672131146,3.6721311475409837,3.762295081967213,3.7459016393442623,3.8583333333333334,3.30327868852459,3.180327868852459,3.768595041322314,3.2131147540983607,3.479338842975207,1.2583333333333333,1.3666666666666667,1.421487603305785,1.2459016393442623,1.180327868852459,1.3846153846153846,1.1904761904761905,1.7540983606557377,3.2,3.6333333333333333,3.2666666666666666,3.6,3.9672131147540983,3.639344262295082,3.540983606557377,3.7049180327868854,1.6721311475409837,1.677685950413223,1.360655737704918,1.859504132231405,1.4958677685950412,1.639344262295082,2.1885245901639343,2.603305785123967,2.2459016393442623,1.853211009174312,1.7592592592592593,1.4403669724770642,2.009259259259259,1.5648148148148149,1.81651376146789,2.2616822429906542,2.616822429906542,2.2962962962962963,1.6528925619834711,1.2571428571428571,2.8048780487804876,2.682926829268293,3.5121951219512195,3.1951219512195124,2.261904761904762,3.075,2.261904761904762,2.0952380952380953,2.073170731707317,3.0606060606060606,2.8181818181818183,3.787878787878788,3.4545454545454546,2.3125,3.303030303030303,2.3529411764705883,2.03125,2.264705882352941,1,3.1333333333333333,10.487603305785123,1.7916666666666667,1.6694214876033058,1.425,8.5,1.9421487603305785,4.285714285714286,10,1.0082644628099173,1.2083333333333333,1.85,1.4416666666666667,1.6470588235294117,1.75,1.7916666666666667,1.8916666666666666,1.8,1.9047619047619047,2.1,1.75,2.2058823529411766,1.7142857142857142,1.9411764705882353,1.8518518518518519,8.016666666666667,6.892561983471074,1.2066115702479339,14.152380952380952,6.702479338842975,7.7478991596638656,1.0578512396694215,1.087719298245614,1.029126213592233,17.219298245614034,1.0619469026548674,2.190909090909091,1.651376146788991,8.739495798319327,3.2083333333333335,3.316666666666667,3.1333333333333333,3.75,3.7478991596638656,3.816666666666667,3.857142857142857,3.441666666666667,1.5294117647058822,1.7983193277310925,1.815126050420168,1.7394957983193278,1.6694915254237288,2.56140350877193,2.3703703703703702,2.24,2.342857142857143,2.5476190476190474,3.225,3.283333333333333,3.6,3.4873949579831933,4.176470588235294,4.25,2.5555555555555554,3.739130434782609,1.911764705882353
Zebstrika,1.11864406779661,9.576923076923077,1.3269230769230769,1.2542372881355932,1.7045454545454546,2.0338983050847457,3.7142857142857144,1.3389830508474576,1.5254237288135593,3.6779661016949152,3.4915254237288136,3.4310344827586206,3.9322033898305087,3.306122448979592,3.4915254237288136,3.1864406779661016,2.694915254237288,3.2711864406779663,3.0689655172413794,3.5084745762711864,3.0338983050847457,3.5084745762711864,2.8983050847457625,3.0508474576271185,3.543859649122807,3.526315789473684,3.4035087719298245,3.456140350877193,2.807017543859649,3.210526315789474,3.473684210526316,3.1228070175438596,3.43859649122807,1.4385964912280702,1.3157894736842106,1.4736842105263157,1.4482758620689655,1.2758620689655173,1.3,1.3666666666666667,1.7758620689655173,4.538461538461538,3.769230769230769,3.923076923076923,3.923076923076923,3.706896551724138,3.4655172413793105,3.7586206896551726,3.6206896551724137,1.9482758620689655,2.0517241379310347,1.4310344827586208,1.8103448275862069,1.706896551724138,1.603448275862069,2.1724137931034484,2.7586206896551726,2.5172413793103448,1.8727272727272728,1.9272727272727272,1.6,1.8,1.6727272727272726,1.7272727272727273,2.1636363636363636,2.672727272727273,2.327272727272727,1.6379310344827587,1.3888888888888888,2.6666666666666665,2.8095238095238093,2.9047619047619047,3,1.9047619047619047,2.6666666666666665,2.238095238095238,2.380952380952381,2.4285714285714284,2.7142857142857144,2.857142857142857,2.7142857142857144,2.9047619047619047,2.142857142857143,2.6666666666666665,2.238095238095238,2.3333333333333335,2.5714285714285716,1,3.9655172413793105,7.945454545454545,1.9298245614035088,1.6551724137931034,1.65,7.25,1.9310344827586208,4.5,9.25,1.0701754385964912,1.3148148148148149,1.9137931034482758,1.4137931034482758,1.5862068965517242,1.7758620689655173,1.6379310344827587,1.9827586206896552,1.8275862068965518,1.8333333333333333,2,1.9166666666666667,1.8,1.8571428571428572,3,1.3636363636363635,7.793103448275862,6.5,1.1379310344827587,16.61111111111111,7.017241379310345,7.017241379310345,1,1.1206896551724137,1.34,26.29310344827586,1.103448275862069,2,1.9130434782608696,8.810344827586206,3.706896551724138,3.689655172413793,3.7241379310344827,3.5689655172413794,3.8620689655172415,3.6379310344827585,3.6206896551724137,3.7758620689655173,1.263157894736842,1.6842105263157894,1.7017543859649122,1.631578947368421,1.6491228070175439,2.1,1.588235294117647,1.3529411764705883,1.75,1.8421052631578947,3.6379310344827585,3.5172413793103448,3.7758620689655173,3.706896551724138,4.724137931034483,4.434782608695652,2.7777777777777777,3.7333333333333334,1.9024390243902438
Wooper,1.183673469387755,9.875,1.4,1.3265306122448979,1.393939393939394,2.4081632653061225,3.6944444444444446,1.183673469387755,1.3673469387755102,3.8541666666666665,2.74468085106383,3.183673469387755,3.63265306122449,3.326530612244898,3.693877551020408,3.5918367346938775,2.5714285714285716,2.979591836734694,2.795918367346939,2.979591836734694,2.836734693877551,3,3,2.8979591836734695,3.4081632653061225,3.5306122448979593,3.877551020408163,3.5306122448979593,3.3469387755102042,3.061224489795918,3.4791666666666665,3.326530612244898,3.9591836734693877,1.288888888888889,1.4042553191489362,1.3673469387755102,1.2653061224489797,1.1041666666666667,1.3235294117647058,1.25,1.7346938775510203,4.076923076923077,4.076923076923077,3.6153846153846154,3.923076923076923,3.2244897959183674,3.3469387755102042,3.2653061224489797,3.4489795918367347,2.020408163265306,2,1.2857142857142858,1.653061224489796,1.3061224489795917,1.7551020408163265,2,3.3877551020408165,2.5306122448979593,1.934782608695652,1.9111111111111112,1.1521739130434783,1.511111111111111,1.2444444444444445,1.5434782608695652,1.8695652173913044,3.0652173913043477,2.5434782608695654,1.530612244897959,1.2272727272727273,3.4545454545454546,3.3181818181818183,3.1363636363636362,3.090909090909091,2.6363636363636362,3,2.1904761904761907,3.0476190476190474,3.1,3.6315789473684212,3.4210526315789473,3.263157894736842,3.263157894736842,2.5789473684210527,3.1,1.95,3.1,2.9,1.2448979591836735,4.621621621621622,8.176470588235293,2.25,1.7567567567567568,1.4444444444444444,3.888888888888889,1.945945945945946,5,7,1.4489795918367347,1.1111111111111112,1.8775510204081634,1.510204081632653,1.7755102040816326,1.8979591836734695,1.7916666666666667,1.9591836734693877,1.836734693877551,2.142857142857143,1.92,2.1666666666666665,2,1.8181818181818181,1.5,1.5,6.479166666666667,6.591836734693878,1.3333333333333333,13.675,7.8979591836734695,7.877551020408164,1.0204081632653061,1.0208333333333333,1.297872340425532,28.6875,1.0625,2.037037037037037,2,8.959183673469388,3.204081632653061,3.1020408163265305,2.9591836734693877,3.673469387755102,3.63265306122449,3.673469387755102,3.816326530612245,3.489795918367347,1.346938775510204,1.836734693877551,1.7142857142857142,1.6938775510204083,1.7346938775510203,2.033333333333333,2.1818181818181817,1.8461538461538463,2,2.6666666666666665,3.489795918367347,4,3.5918367346938775,3.3877551020408165,4.244897959183674,3.2083333333333335,3.25,3.6666666666666665,1.8888888888888888
Tynamo,1.125,9.662337662337663,1.1428571428571428,1.3068181818181819,1.4918032786885247,1.9545454545454546,3.388235294117647,1.0909090909090908,1.4772727272727273,3.9318181818181817,3.2613636363636362,3.1136363636363638,3.8620689655172415,3.0126582278481013,4.011363636363637,3.4545454545454546,2.965909090909091,3.227272727272727,2.965909090909091,3.715909090909091,3.284090909090909,3.465909090909091,3.2045454545454546,3.147727272727273,2.852272727272727,3.159090909090909,3.3181818181818183,3.25,2.9545454545454546,3.0568181818181817,3.2954545454545454,2.727272727272727,3.125,1.2823529411764707,1.2941176470588236,1.372093023255814,1.4069767441860466,1.2823529411764707,1.3846153846153846,1.1666666666666667,1.8636363636363635,3.5833333333333335,3.0833333333333335,3.5833333333333335,3.5833333333333335,3.284090909090909,3,3.590909090909091,3.2045454545454546,2.3068181818181817,1.5227272727272727,1.2386363636363635,1.5454545454545454,1.3977272727272727,1.4318181818181819,2.090909090909091,2.2954545454545454,2.227272727272727,2.310344827586207,1.471264367816092,1.3218390804597702,1.5517241379310345,1.3488372093023255,1.4942528735632183,2.046511627906977,2.197674418604651,2.127906976744186,1.6704545454545454,1.5925925925925926,2.962962962962963,2.5925925925925926,2.6666666666666665,3.074074074074074,2.3333333333333335,2.814814814814815,2.4444444444444446,2.259259259259259,2.7777777777777777,2.7857142857142856,2.392857142857143,2.5357142857142856,2.9285714285714284,2.25,2.642857142857143,2.3703703703703702,2.2142857142857144,2.6785714285714284,1.0227272727272727,3.872093023255814,8.048780487804878,2.023529411764706,1.744186046511628,1.4090909090909092,7.2272727272727275,1.9651162790697674,3,9,1.1136363636363635,1.2179487179487178,1.8275862068965518,1.3793103448275863,1.5632183908045978,1.755813953488372,1.7586206896551724,1.896551724137931,1.8505747126436782,1.6470588235294117,2.240740740740741,1.8974358974358974,1.9130434782608696,1.7727272727272727,1.8461538461538463,1.8571428571428572,7.579545454545454,6.886363636363637,1.2386363636363635,13.675675675675675,6.511363636363637,6.9772727272727275,1.0227272727272727,1.197674418604651,1.588235294117647,24.8953488372093,1.0465116279069768,2.084507042253521,1.8571428571428572,8.74712643678161,3.6704545454545454,3.477272727272727,3.465909090909091,3.727272727272727,4,3.75,3.6436781609195403,3.367816091954023,1.5340909090909092,1.6818181818181819,1.7272727272727273,1.6022727272727273,1.6704545454545454,1.894736842105263,2,1.72,2,1.8,3.840909090909091,3.659090909090909,4.045454545454546,3.8295454545454546,4.193181818181818,5.045454545454546,3.25,3.6923076923076925,1.9272727272727272
Turtwig,1.2142857142857142,8.727272727272727,1.0909090909090908,1.4285714285714286,1.375,2.642857142857143,3.888888888888889,1.0714285714285714,1.2142857142857142,3.5714285714285716,3.230769230769231,3.7857142857142856,3.857142857142857,3.6666666666666665,4.428571428571429,3.9285714285714284,3.357142857142857,3.857142857142857,2.9285714285714284,3.142857142857143,2.6923076923076925,3.923076923076923,3.2142857142857144,3.5,3.2857142857142856,2.857142857142857,3.2857142857142856,3.4615384615384617,3.4285714285714284,3.2142857142857144,4.071428571428571,2.7857142857142856,3.4285714285714284,1.2307692307692308,1.3571428571428572,1.5,1.5714285714285714,1.4615384615384615,1.3,1.3333333333333333,1.6428571428571428,3.2,4,3.6,4,3.7142857142857144,3.4285714285714284,3.5,3.7142857142857144,1.6428571428571428,1.8571428571428572,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.5,2.142857142857143,2.142857142857143,2.0714285714285716,1.6923076923076923,1.9230769230769231,1.4615384615384615,1.4615384615384615,1.4615384615384615,1.6923076923076923,2,2.1538461538461537,1.9230769230769231,1.4285714285714286,1.2,3.375,2.875,2.75,3.25,1.875,2,1.875,3.125,3.375,3.5,3,2.625,3.25,1.7142857142857142,2.125,1.75,2.142857142857143,3.4285714285714284,1,2.5714285714285716,7.6923076923076925,1.7857142857142858,1.5714285714285714,1.5,2.6666666666666665,1.8571428571428572,5,13,1.4285714285714286,1.375,1.7857142857142858,1.4285714285714286,1.5,1.9285714285714286,1.9285714285714286,2,1.6428571428571428,1.6666666666666667,2,1.4285714285714286,1,2.3333333333333335,1,1.8,7.642857142857143,5.214285714285714,1,5.571428571428571,8.928571428571429,7.142857142857143,1,1.0714285714285714,1.1538461538461537,13.5,1.0714285714285714,2,1.8571428571428572,8.642857142857142,3.9285714285714284,3.357142857142857,3.357142857142857,3.7142857142857144,3.357142857142857,3.5714285714285716,4,3.9285714285714284,1.4615384615384615,1.3076923076923077,1.3076923076923077,1.6153846153846154,1.7692307692307692,2.2857142857142856,1.4444444444444444,1.4444444444444444,1.6,2,3.5,3.7142857142857144,4.357142857142857,4.285714285714286,4.214285714285714,4,3,3.6666666666666665,1.7777777777777777
Treecko,1.0689655172413792,8.346153846153847,1.2222222222222223,1.2413793103448276,1.5909090909090908,2.0689655172413794,3.8846153846153846,1.103448275862069,1.3793103448275863,3.5172413793103448,3.5172413793103448,3.7241379310344827,4.379310344827586,3.3,3.4827586206896552,3.1379310344827585,2.7857142857142856,3.0344827586206895,2.607142857142857,3.2413793103448274,2.7586206896551726,3.413793103448276,3.1379310344827585,2.2758620689655173,3.586206896551724,3.5714285714285716,3.892857142857143,3.4482758620689653,2.9655172413793105,3.4285714285714284,3.7241379310344827,3.2758620689655173,3.6206896551724137,1.1428571428571428,1.3571428571428572,1.5517241379310345,1.3448275862068966,1.5172413793103448,1.1363636363636365,1,1.8275862068965518,2.6,1.8,1,2.6,3.689655172413793,3.4827586206896552,3.6206896551724137,3.7241379310344827,3.0357142857142856,1.896551724137931,1.3103448275862069,1.7241379310344827,1.5517241379310345,1.6206896551724137,2.4482758620689653,3.5172413793103448,2.892857142857143,2.7857142857142856,1.7586206896551724,1.3448275862068966,1.6896551724137931,1.5862068965517242,1.896551724137931,2.4482758620689653,3.2413793103448274,2.857142857142857,1.3448275862068966,1.1176470588235294,3.111111111111111,2.789473684210526,3.3684210526315788,3,2.263157894736842,2.5,1.7777777777777777,2.1052631578947367,2.1578947368421053,3,2.6666666666666665,3.3333333333333335,2.823529411764706,2.3684210526315788,2.2941176470588234,1.7058823529411764,2.4444444444444446,2.3333333333333335,1.0689655172413792,1.7407407407407407,8.16,1.7777777777777777,1.8518518518518519,1.5,3,1.8518518518518519,4.75,10.75,1.206896551724138,1.3043478260869565,1.9310344827586208,1.4137931034482758,1.6206896551724137,1.8620689655172413,1.896551724137931,1.896551724137931,1.793103448275862,1.6666666666666667,2.111111111111111,1.4545454545454546,2,2,1.8,2,6.655172413793103,6.482758620689655,1.103448275862069,7.814814814814815,7.413793103448276,7.241379310344827,1.0689655172413792,1.0740740740740742,1.12,28.115384615384617,1.0740740740740742,2.3043478260869565,1.8,8.928571428571429,3.310344827586207,3.6206896551724137,3.4827586206896552,3.6206896551724137,3.6206896551724137,3.4827586206896552,2.7241379310344827,2.586206896551724,1.793103448275862,1.8620689655172413,1.793103448275862,1.8275862068965518,1.8571428571428572,1.8571428571428572,1.5,1.3333333333333333,2.2,2,2.9655172413793105,3.4482758620689653,3.4827586206896552,3.0689655172413794,3.793103448275862,4.5,NA,3.5,1.9333333333333333
Totodile,1.2191780821917808,10.631578947368421,1.263157894736842,1.356164383561644,1.5106382978723405,2.2739726027397262,4.032786885245901,1.095890410958904,1.1917808219178083,3.1666666666666665,2.971830985915493,2.6986301369863015,2.671232876712329,2.5,3.1780821917808217,3.0136986301369864,2.6027397260273974,2.8219178082191783,2.808219178082192,2.5616438356164384,2.589041095890411,3,3.112676056338028,2.589041095890411,4.041095890410959,3.9452054794520546,4.178082191780822,3.835616438356164,3.904109589041096,3.6575342465753424,3.8055555555555554,3.6164383561643834,3.8219178082191783,1.323943661971831,1.3857142857142857,1.5138888888888888,1.3150684931506849,1.178082191780822,1.532258064516129,1.2093023255813953,1.5890410958904109,3.1,3.2333333333333334,2.933333333333333,3.1,3.9726027397260273,4.054794520547945,3.958904109589041,4.054794520547945,1.904109589041096,1.6575342465753424,1.5,1.6575342465753424,1.5205479452054795,1.7945205479452055,2.232876712328767,2.8904109589041096,2.452054794520548,1.9428571428571428,1.6142857142857143,1.5571428571428572,1.6857142857142857,1.6956521739130435,1.8285714285714285,2.1857142857142855,2.7714285714285714,2.3857142857142857,1.5890410958904109,1.2592592592592593,2.896551724137931,2.793103448275862,3.413793103448276,3.3793103448275863,2.5172413793103448,3.3448275862068964,2.4482758620689653,3.2413793103448274,2.7586206896551726,2.8518518518518516,3,3.3333333333333335,3.4444444444444446,2.5185185185185186,3.5185185185185186,2.4074074074074074,3.185185185185185,2.6666666666666665,1.0684931506849316,4.735294117647059,8.359375,2.2794117647058822,1.8235294117647058,1.25,3.3333333333333335,1.911764705882353,4.5,3,1.2876712328767124,1.2745098039215685,1.821917808219178,1.3424657534246576,1.7123287671232876,1.9305555555555556,1.7945205479452055,1.917808219178082,1.821917808219178,2.1538461538461537,2.282608695652174,1.8095238095238095,2.125,1.75,1.8571428571428572,1.4285714285714286,6.430555555555555,7.4520547945205475,1.4246575342465753,10.211538461538462,8.164383561643836,7.916666666666667,1.0547945205479452,1,1.391304347826087,29.130434782608695,1.1764705882352942,2.022222222222222,1.8709677419354838,8.794520547945206,3.0972222222222223,2.7916666666666665,2.9444444444444446,3.0694444444444446,3.1666666666666665,3.138888888888889,3.0555555555555554,2.986111111111111,1.676056338028169,1.9014084507042253,1.8450704225352113,1.7605633802816902,1.7887323943661972,2.7037037037037037,2.5,2.4166666666666665,2.7777777777777777,2.6875,3.263888888888889,3.5277777777777777,3.5694444444444446,3.236111111111111,3.388888888888889,3.272727272727273,NA,3.5,1.9259259259259258
Taillow,1.4423076923076923,10.620689655172415,1.3448275862068966,1.5769230769230769,1.7727272727272727,2.3461538461538463,4.025,1.2156862745098038,1.607843137254902,3.1153846153846154,3.6,3.0384615384615383,3.3529411764705883,3.235294117647059,4.176470588235294,3.8823529411764706,2.6470588235294117,3.0784313725490198,2.9215686274509802,3.2941176470588234,3.235294117647059,3.3333333333333335,3.2941176470588234,2.9607843137254903,3.7058823529411766,3.764705882352941,3.8823529411764706,3.64,3.1372549019607843,2.7058823529411766,3.938775510204082,2.84,3.392156862745098,1.4,1.28,1.3333333333333333,1.3333333333333333,1.2156862745098038,1.325,1.4074074074074074,1.6346153846153846,3.6315789473684212,3.210526315789474,3.3157894736842106,3.263157894736842,3.6470588235294117,3.5294117647058822,3.5686274509803924,3.3137254901960786,2.784313725490196,1.8627450980392157,1.3137254901960784,2.0980392156862746,1.2745098039215685,1.4705882352941178,1.8823529411764706,3.196078431372549,2.1176470588235294,2.7142857142857144,1.836734693877551,1.44,2.142857142857143,1.4,1.54,1.8,2.98,2.020408163265306,1.6538461538461537,1.125,3.3529411764705883,3.0588235294117645,3.3529411764705883,3.4705882352941178,3.0588235294117645,3.176470588235294,2.588235294117647,3.6470588235294117,2.5294117647058822,3.4375,2.9375,3.5,3.5625,2.875,2.9375,2.5,3.6875,2.625,1.0392156862745099,2.7346938775510203,11.25,1.75,1.1458333333333333,1.6585365853658536,11.75609756097561,1.25,2.0833333333333335,11.36111111111111,1.38,1.2580645161290323,1.9795918367346939,1.530612244897959,1.6734693877551021,1.5510204081632653,1.7142857142857142,1.3061224489795917,1.5918367346938775,3,2.391304347826087,1.9375,2.0833333333333335,1.8571428571428572,2.264705882352941,1.4,7.22,7.52,1.44,18.91176470588235,9.52,8.14,1.0784313725490196,1,1.2391304347826086,18.47826086956522,1.1555555555555554,2.142857142857143,1.75,8.803921568627452,3.08,2.84,3.26,3.32,3.14,3.2,3.26,3,1.48,1.62,1.5,1.38,1.64,2.3043478260869565,1.8823529411764706,1.5714285714285714,2.08,2.533333333333333,3.56,3.98,3.56,3.5306122448979593,4.980392156862745,4.78125,3,4,1.8717948717948718
Swellow,1.3108108108108107,10,1.4313725490196079,1.3243243243243243,1.46,2.1621621621621623,3.656716417910448,1.162162162162162,1.1081081081081081,3.635135135135135,3.581081081081081,3.3513513513513513,3.7837837837837838,3.227272727272727,3.4324324324324325,3.1486486486486487,3,2.9864864864864864,3.081081081081081,3.175675675675676,3.1216216216216215,3.027027027027027,3.356164383561644,3.2972972972972974,3.6621621621621623,3.6486486486486487,3.689189189189189,3.7162162162162162,3.5405405405405403,3.2567567567567566,3.8513513513513513,3.189189189189189,3.581081081081081,1.1971830985915493,1.3380281690140845,1.4594594594594594,1.36986301369863,1.3513513513513513,1.5081967213114753,1.375,1.7567567567567568,3.2222222222222223,3.388888888888889,3.4444444444444446,3.3333333333333335,3.891891891891892,3.891891891891892,3.4054054054054053,3.7837837837837838,2.684931506849315,1.4305555555555556,1.3243243243243243,2.041095890410959,1.3243243243243243,1.4054054054054055,1.8108108108108107,2.689189189189189,2.1621621621621623,2.782608695652174,1.4705882352941178,1.565217391304348,2.1343283582089554,1.5797101449275361,1.4927536231884058,1.8529411764705883,2.6231884057971016,2.0144927536231885,1.662162162162162,1.3478260869565217,3.25,2.9583333333333335,2.9583333333333335,3.0434782608695654,1.9583333333333333,2.7083333333333335,1.9583333333333333,3.2916666666666665,2.260869565217391,3.409090909090909,3.1363636363636362,3.0454545454545454,3.2,2.090909090909091,2.8181818181818183,2,3.1818181818181817,2.409090909090909,1.0405405405405406,2.3661971830985915,10.126760563380282,1.6619718309859155,1.7464788732394365,1.3333333333333333,11.166666666666666,1.9295774647887325,4.2,13,1,1.0945945945945945,1.864864864864865,1.445945945945946,1.5810810810810811,1.821917808219178,1.9189189189189189,1.9189189189189189,1.8918918918918919,1.8461538461538463,2.2325581395348837,2,1.875,2.111111111111111,2.125,2,7.351351351351352,6.405405405405405,1.0675675675675675,15.295774647887324,6.648648648648648,7.616438356164384,1.0135135135135136,1.0547945205479452,1.1884057971014492,20.54794520547945,1.0704225352112675,2.0985915492957745,1.7058823529411764,8.797297297297296,3.5405405405405403,3.4054054054054053,3.527027027027027,3.2567567567567566,3.324324324324324,3.608108108108108,3.4594594594594597,3.189189189189189,1.972972972972973,1.837837837837838,1.8108108108108107,1.7297297297297298,1.837837837837838,2.5,2,1.8666666666666667,2.1176470588235294,2.727272727272727,3.1780821917808217,3.4794520547945207,3.7972972972972974,3.3835616438356166,4.54054054054054,4.5,3.1666666666666665,3.3333333333333335,1.7916666666666667
Starly,1.1428571428571428,8.944444444444445,1.2777777777777777,1.5714285714285714,1.6666666666666667,2.4761904761904763,3.8666666666666667,1.1904761904761905,1.0952380952380953,3.3333333333333335,2.9,2.9047619047619047,3.5714285714285716,3,4.333333333333333,4.095238095238095,3,3.4285714285714284,3.5714285714285716,3.619047619047619,3.3333333333333335,3.0476190476190474,2.6666666666666665,3.4761904761904763,3.789473684210526,3.4210526315789473,3.473684210526316,3.789473684210526,2.8421052631578947,2.789473684210526,3.526315789473684,2.6315789473684212,3.210526315789474,1.9523809523809523,1.631578947368421,1.2380952380952381,1.2380952380952381,1.1904761904761905,1.1176470588235294,2.2,1.5238095238095237,3.7,4,3.7,4,3.5714285714285716,3.7142857142857144,3.142857142857143,3.238095238095238,1.4,1.5,1.3,1.5,1.45,1.1,1.9,2.75,2.25,1.2352941176470589,1.2352941176470589,1.3529411764705883,1.2352941176470589,1.2941176470588236,1.0588235294117647,1.7647058823529411,2.764705882352941,2.4705882352941178,1.35,1.4545454545454546,1.3846153846153846,1.3846153846153846,1.6153846153846154,1.6923076923076923,1.6153846153846154,1.1538461538461537,2,2.769230769230769,2.3076923076923075,1.4545454545454546,1.4545454545454546,1.4545454545454546,1.4545454545454546,1.5454545454545454,1.0909090909090908,1.8181818181818181,2.8181818181818183,2.1818181818181817,1.05,1.7222222222222223,9.176470588235293,1.8888888888888888,1.7777777777777777,3,5,1.3888888888888888,3.727272727272727,11.272727272727273,1.105263157894737,2.176470588235294,1.9473684210526316,1.7894736842105263,1.736842105263158,1.894736842105263,1.8421052631578947,1.9473684210526316,1.8421052631578947,1,2.4,2.4,2,2.3333333333333335,1,2,9.052631578947368,6.578947368421052,1.2105263157894737,6.588235294117647,9.263157894736842,8,1,1,1,16,1.4736842105263157,1.9230769230769231,1.8571428571428572,8.210526315789474,4.105263157894737,3.0526315789473686,3,3.6315789473684212,3.3684210526315788,3.0526315789473686,3,3.3684210526315788,1,1.5789473684210527,1.5263157894736843,1.6842105263157894,1.8421052631578947,1.8571428571428572,1.8333333333333333,1.5,1.8,1.5,3.5789473684210527,4.105263157894737,4.894736842105263,3.8421052631578947,3.6315789473684212,5.2,4,NA,1.8
